line_id,donor,clone,replicate,ips_received,ips_started,passage_received,received_as,media,EB_formation,passage_diff,diff_start,salmonella_date,atac_date,flow_date,medium_changes,terminated,status,mean_purity,max_purity,genotype_id,open_access,sex,RNA_included,ATAC_included
coio_2,coio,2,1,10/1/2014,10/1/2014,38,alive,KSR,10/7/2014,39,10/11/2014,11/20/2014,NA,11/18/2014,9,11/27/2014,Success,0.974881433339189,0.993852099069032,HPSI0513i-coio_2,0,female,1,0
focm_1,focm,1,1,10/1/2014,10/1/2014,45,alive,KSR,10/7/2014,46,10/11/2014,NA,NA,NA,9,11/27/2014,Diff_fail,NA,NA,HPSI0613i-focm_1,0,male,0,0
focm_1,focm,1,2,10/1/2014,1/9/2015,46,frozen,KSR,1/27/2015,49,1/30/2015,NA,NA,NA,6,3/9/2015,Diff_fail,NA,NA,HPSI0613i-focm_1,0,male,0,0
vorx_1,vorx,1,1,10/1/2014,10/1/2014,40,alive,KSR,10/6/2014,41,10/10/2014,11/20/2014,NA,11/11/2014,7,11/25/2014,Success,0.9850997736008,0.992102353498657,HPSI0613i-vorx_1,0,male,1,0
debk_7,debk,7,1,10/6/2014,10/6/2014,34,alive,KSR,10/13/2014,35,10/16/2014,11/26/2014,NA,11/27/2014,9,12/10/2014,Success,0.968486686889114,0.972025615099427,HPSI0513i-debk_7,0,female,1,0
piun_3,piun,3,1,10/6/2014,10/6/2014,38,alive,KSR,10/12/2014,39,10/16/2014,NA,NA,12/4/2014,12,12/19/2014,Success,0.970686767169179,0.974371859296482,HPSI0813i-piun_3,0,female,0,0
piun_3,piun,3,2,10/6/2014,1/9/2015,39,frozen,KSR,1/28/2015,42,1/31/2015,NA,NA,4/2/2015,10,4/7/2015,FC_QC_fail,0.905581814089579,0.909689399054693,HPSI0813i-piun_3,0,female,0,0
riiv_1,riiv,1,1,10/6/2014,10/6/2014,32,alive,KSR,10/12/2014,33,10/16/2014,NA,NA,11/21/2014,10,12/19/2014,Success,0.964141122035859,0.970117601696549,HPSI0613i-riiv_1,0,female,0,0
voas_2,voas,2,1,10/6/2014,10/6/2014,37,alive,KSR,10/13/2014,38,10/16/2014,11/26/2014,NA,11/21/2014,10,12/10/2014,Success,0.997686233086867,0.998340123736231,HPSI0813i-voas_2,0,female,1,0
auim_2,auim,2,1,10/10/2014,10/10/2014,36,alive,KSR,10/13/2014,37,10/16/2014,11/20/2014,NA,11/21/2014,9,12/10/2014,Success,0.992998125482413,0.999834601389348,HPSI0613i-auim_2,0,female,1,0
babk_2,babk,2,1,10/10/2014,10/10/2014,36,alive,E8,10/25/2014,38,10/29/2014,NA,NA,12/16/2014,9,12/19/2014,Success,0.968871595330739,0.972618532929817,HPSI1213i-babk_2,1,female,0,0
babk_2,babk,2,2,10/10/2014,9/15/2015,37,alive/frozen,E8,10/9/2015,41,10/12/2015,12/4/2015,12/4/2015,11/27/2015,10,12/4/2015,Success,0.97143605870021,0.973427672955975,HPSI1213i-babk_2,1,female,1,1
meqo_3,meqo,3,1,10/10/2014,10/10/2014,39,alive,KSR,10/16/2014,40,10/20/2014,11/20/2014,NA,11/27/2014,8,12/10/2014,Success,0.991630009775171,0.998533724340176,HPSI0813i-meqo_3,0,male,1,0
zuta_1,zuta,1,1,10/10/2014,10/10/2014,31,alive,KSR,10/16/2014,32,10/20/2014,11/20/2014,NA,11/21/2014,6,11/27/2014,Success,0.996773460577142,1,HPSI1113i-zuta_1,0,male,1,0
bima_1,bima,1,1,10/24/2014,10/24/2014,40,alive,E8,11/4/2014,42,11/7/2014,12/12/2014,12/12/2014,12/16/2014,6,12/19/2014,Success,0.985013884898975,0.988939959781672,HPSI1113i-bima_1,1,male,1,1
bulb_1,bulb,1,1,10/24/2014,10/24/2014,33,alive,E8,11/7/2014,35,11/10/2014,NA,NA,12/16/2014,7,12/19/2014,FC_QC_fail,0.903173121791881,0.910405972935138,HPSI0913i-bulb_1,0,female,0,0
bulb_1,bulb,1,2,10/24/2014,1/9/2015,35,frozen,KSR,1/30/2015,38,2/2/2015,NA,NA,NA,5,3/9/2015,Diff_fail,NA,NA,HPSI0913i-bulb_1,0,female,0,0
